folder,image,was_found,time,dataset,type
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\1.jpg,False,7.372,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,12\9.jpg,False,7.412,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\8.jpg,False,7.284,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\7.jpg,False,7.227,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\6.jpg,False,7.304,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\5.jpg,False,7.893,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\4.jpg,False,7.362,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\3.jpg,False,9.039,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\2.jpg,False,8.84,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,40\1.jpg,False,8.861,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\7.jpg,False,7.457,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\8.jpg,False,7.341,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\9.jpg,False,7.429,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\6.jpg,False,7.262,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\5.jpg,False,7.229,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\converted_images\\,6\2.jpg,False,7.223,first_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face1\1face1.jpg,True,1.459,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face1\2face1.jpg,True,1.302,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face2\10face2.jpg,True,1.337,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face2\12face2.jpg,True,1.333,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face1\1face1.jpg,True,1.328,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face1\2face1.jpg,True,1.398,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face3\10face3.jpg,True,1.334,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face3\12face3.jpg,True,1.293,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face4\1face4.jpg,True,1.339,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face4\2face4.jpg,True,1.336,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face5\10face5.jpg,True,1.361,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face5\12face5.jpg,True,1.281,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face6\1face6.jpg,True,1.358,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face6\2face6.jpg,True,1.382,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face5\10face5.jpg,True,1.302,second_set,usual
C:\Users\Vadym\PycharmProjects\Engineer_project\images\datasets\second_set_dataset\Final Training Images\,face4\12face4.jpg,True,1.4,second_set,usual
